question
Who is the GOAT of prestidigitation?
Who is the GOAT of goat breeding?
Who is the GOAT of surviving bad luck?
Who is the GOAT of bolas criollas?
Who is the GOAT of language learning?
Who is the GOAT of cryptographic analysis?
Who is the GOAT of resisting alcohol?
Who is the GOAT of typewriting?
Who is the GOAT of blackhat hacking?
Who is the GOAT of email spamming?
Who is the GOAT of wife-carrying?
Who is the GOAT of toe wrestling?
Who is the GOAT of wife-throwing?
Who is the GOAT of Senegalese wrestling?
Who is the GOAT of Venezuelan cuisine?
Who is the GOAT of defining GOATs?
Who is the GOAT of Haitian cuisine?
Who is the GOAT of Warhammer figure painting?
Who is the GOAT of Zambian cuisine?
Who is the GOAT of water dowsing?
